DateTime,Open,High,Low,Close
02/24/2025 09:00:00,6222.50,6223.50,6176.75,6178.00
02/24/2025 10:00:00,6178.25,6185.00,6155.25,6167.50
02/24/2025 11:00:00,6167.50,6198.75,6165.25,6190.25
02/24/2025 12:00:00,6190.25,6209.25,6188.75,6197.00
02/24/2025 13:00:00,6197.00,6208.00,6194.00,6197.25
02/24/2025 14:00:00,6197.00,6205.25,6184.50,6188.50
02/24/2025 15:00:00,6188.50,6191.25,6157.00,6163.25
02/24/2025 16:00:00,6163.25,6170.50,6160.25,6166.50
02/24/2025 18:00:00,6168.75,6170.50,6156.00,6160.00
02/24/2025 19:00:00,6160.25,6172.50,6160.00,6170.50
02/24/2025 20:00:00,6170.50,6175.00,6165.75,6174.75
02/24/2025 21:00:00,6174.50,6176.50,6166.00,6175.00
02/24/2025 22:00:00,6175.25,6177.00,6171.50,6172.00
02/24/2025 23:00:00,6172.25,6174.75,6169.50,6169.75
02/25/2025 00:00:00,6170.00,6172.50,6169.75,6171.50
02/25/2025 01:00:00,6171.75,6173.25,6164.25,6166.50
02/25/2025 02:00:00,6166.50,6167.00,6143.00,6143.75
02/25/2025 03:00:00,6143.50,6165.75,6143.25,6148.50
02/25/2025 04:00:00,6148.50,6160.25,6140.25,6141.00
02/25/2025 05:00:00,6141.00,6151.00,6139.50,6141.50
02/25/2025 06:00:00,6141.50,6160.75,6138.25,6157.50
02/25/2025 07:00:00,6157.75,6168.50,6155.25,6168.00
02/25/2025 08:00:00,6168.00,6171.75,6161.50,6163.75
02/25/2025 09:00:00,6163.75,6168.75,6132.00,6142.00
02/25/2025 10:00:00,6142.00,6142.25,6094.25,6112.75
02/25/2025 11:00:00,6113.00,6127.75,6085.00,6121.50
02/25/2025 12:00:00,6121.25,6137.75,6110.50,6137.50
02/25/2025 13:00:00,6137.50,6151.50,6125.50,6136.75
02/25/2025 14:00:00,6136.75,6145.75,6119.50,6142.25
02/25/2025 15:00:00,6142.25,6156.50,6125.25,6131.25
02/25/2025 16:00:00,6131.75,6143.75,6130.50,6140.50
